2/13/2024, 4:00 PM						
User Name						
Experimental Description						
Header A (units)	Header B (u)	Header C (u)	Header D (u)			
0.047353	350.000000	4.825663	203.213893	350.000000	0.200000	1.000000
0.047853	350.000000	4.948700	206.053106	350.000000	0.200000	1.000000
0.048353	350.000000	5.072730	208.847805	350.000000	0.200000	1.000000
0.048853	350.000000	5.197604	211.542210	350.000000	0.200000	1.000000
0.049353	350.000000	5.323548	214.063758	350.000000	0.200000	1.000000
0.049853	350.000000	5.450376	216.462840	350.000000	0.200000	1.000000
0.050353	350.000000	5.577916	218.823982	350.000000	0.200000	1.000000
0.050853	350.000000	5.706378	221.157865	350.000000	0.200000	1.000000
0.051353	350.000000	5.835562	223.435236	350.000000	0.200000	1.000000
0.051853	350.000000	5.965290	225.644873	350.000000	0.200000	1.000000
0.052353	350.000000	6.095766	227.825347	350.000000	0.200000	1.000000
0.052853	350.000000	6.226789	230.038681	350.000000	0.200000	1.000000
0.053353	350.000000	6.358184	232.382508	350.000000	0.200000	1.000000
0.053853	350.000000	6.490159	234.602023	350.000000	0.200000	1.000000
0.054354	350.000000	6.622881	236.874141	350.000000	0.200000	1.000000
0.054854	350.000000	6.756479	239.135816	350.000000	0.200000	1.000000
0.055354	350.000000	6.891047	241.305296	350.000000	0.200000	1.000000
0.055854	350.000000	7.026651	243.309378	350.000000	0.200000	1.000000
0.056354	350.000000	7.162969	245.162038	350.000000	0.200000	1.000000
0.056854	350.000000	7.299721	246.895380	350.000000	0.200000	1.000000
0.057403	350.000000	7.437389	248.473514	350.000000	0.200000	1.000000
0.057903	350.000000	7.576367	251.181763	350.000000	0.200000	1.000000
0.058403	350.000000	7.716237	253.239450	350.000000	0.200000	1.000000
0.058903	350.000000	7.856640	254.780060	350.000000	0.200000	1.000000
0.059403	350.000000	7.997627	255.957425	350.000000	0.200000	1.000000
0.059903	350.000000	8.139235	256.874993	350.000000	0.200000	1.000000
0.060403	350.000000	8.281482	257.606033	350.000000	0.200000	1.000000
0.060903	350.000000	8.424379	258.258845	350.000000	0.200000	1.000000
0.061403	350.000000	8.568284	258.872759	350.000000	0.200000	1.000000
0.061903	350.000000	8.713120	259.470719	350.000000	0.200000	1.000000
0.062403	350.000000	8.858088	260.193360	350.000000	0.200000	1.000000
0.062903	350.000000	9.003239	261.111709	350.000000	0.200000	1.000000
0.063403	350.000000	9.148974	262.195738	350.000000	0.200000	1.000000
0.063903	350.000000	9.295261	263.441386	350.000000	0.200000	1.000000
0.064403	350.000000	9.442064	264.864191	350.000000	0.200000	1.000000
0.064904	350.000000	9.589345	266.502637	350.000000	0.200000	1.000000
0.065404	350.000000	9.737066	268.425077	350.000000	0.200000	1.000000
0.065904	350.000000	9.885187	270.712341	350.000000	0.200000	1.000000
0.066404	350.000000	10.033672	273.413477	350.000000	0.200000	1.000000
0.066904	350.000000	10.182482	276.527674	350.000000	0.200000	1.000000
0.067404	350.000000	10.331582	280.259768	350.000000	0.200000	1.000000
0.067913	350.000000	10.480938	281.738636	350.000000	0.200000	1.000000
0.068413	350.000000	10.630518	283.482515	350.000000	0.200000	1.000000
0.068913	350.000000	10.780291	285.098217	350.000000	0.200000	1.000000
0.069413	350.000000	10.930591	286.539745	350.000000	0.200000	1.000000
0.069913	350.000000	11.081690	287.756864	350.000000	0.200000	1.000000
0.070418	350.000000	11.233442	288.726341	350.000000	0.200000	1.000000
0.070920	350.000000	11.385716	289.589927	350.000000	0.200000	1.000000
0.071420	350.000000	11.538393	290.341082	350.000000	0.200000	1.000000
0.071920	350.000000	11.691732	290.975926	350.000000	0.200000	1.000000
0.072421	350.000000	11.845938	291.453513	350.000000	0.200000	1.000000
0.072921	350.000000	12.000447	291.789585	350.000000	0.200000	1.000000
0.073421	350.000000	12.154782	292.102255	350.000000	0.200000	1.000000
0.073921	350.000000	12.309271	292.468253	350.000000	0.200000	1.000000
0.074421	350.000000	12.464186	292.913208	350.000000	0.200000	1.000000
0.074921	350.000000	12.619387	293.476121	350.000000	0.200000	1.000000
0.075421	350.000000	12.774751	294.206025	350.000000	0.200000	1.000000
0.075921	350.000000	12.930174	295.150270	350.000000	0.200000	1.000000
0.076421	350.000000	13.085931	296.298673	350.000000	0.200000	1.000000
0.076921	350.000000	13.242245	297.623260	350.000000	0.200000	1.000000
0.077421	350.000000	13.398935	299.114338	350.000000	0.200000	1.000000
0.077921	350.000000	13.555842	300.767372	350.000000	0.200000	1.000000
0.078421	350.000000	13.712831	301.986257	350.000000	0.200000	1.000000
0.078921	350.000000	13.869787	303.161675	350.000000	0.200000	1.000000
0.079421	350.000000	14.026616	304.307313	350.000000	0.200000	1.000000
0.079922	350.000000	14.183238	305.475483	350.000000	0.200000	1.000000
0.080422	350.000000	14.339592	306.716783	350.000000	0.200000	1.000000
0.080922	350.000000	14.495991	307.740105	350.000000	0.200000	1.000000
0.081422	350.000000	14.652697	308.539863	350.000000	0.200000	1.000000
0.081922	350.000000	14.809563	309.254988	350.000000	0.200000	1.000000
0.082422	350.000000	14.966827	309.941437	350.000000	0.200000	1.000000
0.082922	350.000000	15.124679	310.558794	350.000000	0.200000	1.000000
0.083422	350.000000	15.282911	311.033502	350.000000	0.200000	1.000000
0.083922	350.000000	15.441342	311.349303	350.000000	0.200000	1.000000
0.084422	350.000000	15.599816	311.558327	350.000000	0.200000	1.000000
0.084922	350.000000	15.758567	311.682316	350.000000	0.200000	1.000000
0.085422	350.000000	15.917784	311.694634	350.000000	0.200000	1.000000
0.085922	350.000000	16.077258	311.579242	350.000000	0.200000	1.000000
0.086422	350.000000	16.236811	311.400397	350.000000	0.200000	1.000000
0.086932	350.000000	16.396290	311.268148	350.000000	0.200000	1.000000
0.087432	350.000000	16.555933	311.542946	350.000000	0.200000	1.000000
0.087933	350.000000	16.715936	311.847680	350.000000	0.200000	1.000000
0.088433	350.000000	16.876095	312.235036	350.000000	0.200000	1.000000
0.088933	350.000000	17.036599	312.688892	350.000000	0.200000	1.000000
0.089433	350.000000	17.197603	313.173816	350.000000	0.200000	1.000000
0.089933	350.000000	17.358865	313.663994	350.000000	0.200000	1.000000
0.090433	350.000000	17.520181	314.113225	350.000000	0.200000	1.000000
0.090933	350.000000	17.681377	314.522496	350.000000	0.200000	1.000000
0.091433	350.000000	17.842674	314.904001	350.000000	0.200000	1.000000
0.091933	350.000000	18.004615	315.183842	350.000000	0.200000	1.000000
0.092433	350.000000	18.167285	315.338849	350.000000	0.200000	1.000000
0.092935	350.000000	18.330381	315.440291	350.000000	0.200000	1.000000
0.093435	350.000000	18.493645	315.625064	350.000000	0.200000	1.000000
0.093935	350.000000	18.656857	315.861051	350.000000	0.200000	1.000000
0.094435	350.000000	18.820196	316.157565	350.000000	0.200000	1.000000
0.094935	350.000000	18.983811	316.530639	350.000000	0.200000	1.000000
0.095435	350.000000	19.147458	317.064457	350.000000	0.200000	1.000000
0.095935	350.000000	19.311299	317.800604	350.000000	0.200000	1.000000
0.096435	350.000000	19.475462	318.718692	350.000000	0.200000	1.000000
0.096936	350.000000	19.639690	319.801801	350.000000	0.200000	1.000000
0.097475	350.000000	19.804128	320.401933	350.000000	0.200000	1.000000
0.097975	350.000000	19.969258	322.209685	350.000000	0.200000	1.000000
0.098475	350.000000	20.135110	323.409061	350.000000	0.200000	1.000000
0.098975	350.000000	20.301336	324.122587	350.000000	0.200000	1.000000
0.099475	350.000000	20.467641	324.503338	350.000000	0.200000	1.000000
0.099975	350.000000	20.633775	324.676297	350.000000	0.200000	1.000000
0.100475	350.000000	20.799895	324.686226	350.000000	0.200000	1.000000
0.100975	350.000000	20.966132	324.517098	350.000000	0.200000	1.000000
0.101475	350.000000	21.132232	324.207490	350.000000	0.200000	1.000000
0.101975	350.000000	21.298345	323.849830	350.000000	0.200000	1.000000
0.102475	350.000000	21.464598	323.566520	350.000000	0.200000	1.000000
0.102975	350.000000	21.630734	323.473128	350.000000	0.200000	1.000000
0.103475	350.000000	21.796537	323.501992	350.000000	0.200000	1.000000
0.103975	350.000000	21.962195	323.764774	350.000000	0.200000	1.000000
0.104475	350.000000	22.128229	324.226379	350.000000	0.200000	1.000000
0.104975	350.000000	22.294707	324.880739	350.000000	0.200000	1.000000
0.105475	350.000000	22.461319	325.730359	350.000000	0.200000	1.000000
0.105975	350.000000	22.627802	326.818860	350.000000	0.200000	1.000000
0.106476	350.000000	22.794301	328.200293	350.000000	0.200000	1.000000
0.106976	350.000000	22.960936	329.893400	350.000000	0.200000	1.000000
0.107476	350.000000	23.127443	331.966929	350.000000	0.200000	1.000000
0.107976	350.000000	23.293606	331.932112	350.000000	0.200000	1.000000
0.108476	350.000000	23.459245	331.936792	350.000000	0.200000	1.000000
0.108976	350.000000	23.624581	332.049194	350.000000	0.200000	1.000000
0.109476	350.000000	23.790166	332.243879	350.000000	0.200000	1.000000
0.109976	350.000000	23.956459	332.386294	350.000000	0.200000	1.000000
0.110477	350.000000	24.123469	332.414288	350.000000	0.200000	1.000000
0.110977	350.000000	24.290834	332.356771	350.000000	0.200000	1.000000
0.111477	350.000000	24.458244	332.214811	350.000000	0.200000	1.000000
0.111977	350.000000	24.625440	332.054316	350.000000	0.200000	1.000000
0.112484	350.000000	24.792569	331.927925	350.000000	0.200000	1.000000
0.112984	350.000000	24.959757	332.076889	350.000000	0.200000	1.000000
0.113485	350.000000	25.127107	332.104980	350.000000	0.200000	1.000000
0.113985	350.000000	25.295066	331.931436	350.000000	0.200000	1.000000
0.114485	350.000000	25.463637	331.587780	350.000000	0.200000	1.000000
0.114985	350.000000	25.632451	331.198817	350.000000	0.200000	1.000000
0.115485	350.000000	25.801195	330.861483	350.000000	0.200000	1.000000
0.115985	350.000000	25.969972	330.607227	350.000000	0.200000	1.000000
0.116485	350.000000	26.138867	330.487873	350.000000	0.200000	1.000000
0.116985	350.000000	26.307587	330.585987	350.000000	0.200000	1.000000
0.117485	350.000000	26.476250	330.912804	350.000000	0.200000	1.000000
0.117985	350.000000	26.644959	331.416812	350.000000	0.200000	1.000000
0.118485	350.000000	26.813435	332.014691	350.000000	0.200000	1.000000
0.118985	350.000000	26.981810	332.597061	350.000000	0.200000	1.000000
0.119485	350.000000	27.150558	333.062280	350.000000	0.200000	1.000000
0.119985	350.000000	27.319711	333.470578	350.000000	0.200000	1.000000
0.120485	350.000000	27.488923	333.923544	350.000000	0.200000	1.000000
0.120986	350.000000	27.657908	334.487751	350.000000	0.200000	1.000000
0.121486	350.000000	27.826427	335.222926	350.000000	0.200000	1.000000
0.121986	350.000000	27.994649	336.085783	350.000000	0.200000	1.000000
0.122486	350.000000	28.163085	336.985937	350.000000	0.200000	1.000000
0.122986	350.000000	28.332155	337.295640	350.000000	0.200000	1.000000
0.123486	350.000000	28.501844	337.336504	350.000000	0.200000	1.000000
0.123986	350.000000	28.671764	337.177271	350.000000	0.200000	1.000000
0.124486	350.000000	28.841952	336.927183	350.000000	0.200000	1.000000
0.124986	350.000000	29.012433	336.635823	350.000000	0.200000	1.000000
0.125486	350.000000	29.182864	336.341329	350.000000	0.200000	1.000000
0.125986	350.000000	29.353319	336.096772	350.000000	0.200000	1.000000
0.126486	350.000000	29.524222	335.910808	350.000000	0.200000	1.000000
0.126986	350.000000	29.695558	335.755183	350.000000	0.200000	1.000000
0.127486	350.000000	29.866588	335.697280	350.000000	0.200000	1.000000
0.127987	350.000000	30.037055	335.819342	350.000000	0.200000	1.000000
0.128487	350.000000	30.207479	336.071579	350.000000	0.200000	1.000000
0.128987	350.000000	30.377933	336.399215	350.000000	0.200000	1.000000
0.129487	350.000000	30.548479	336.837955	350.000000	0.200000	1.000000
0.129987	350.000000	30.719166	337.421418	350.000000	0.200000	1.000000
0.130487	350.000000	30.889671	338.165337	350.000000	0.200000	1.000000
0.130987	350.000000	31.059728	339.058229	350.000000	0.200000	1.000000
0.131487	350.000000	31.229117	340.012235	350.000000	0.200000	1.000000
0.131987	350.000000	31.398030	340.904904	350.000000	0.200000	1.000000
0.132487	350.000000	31.566994	341.643225	350.000000	0.200000	1.000000
0.132987	350.000000	31.736450	342.169229	350.000000	0.200000	1.000000
0.133487	350.000000	31.906399	342.471069	350.000000	0.200000	1.000000
0.133987	350.000000	32.076472	342.557108	350.000000	0.200000	1.000000
0.134487	350.000000	32.246357	342.470948	350.000000	0.200000	1.000000
0.134987	350.000000	32.415797	342.297176	350.000000	0.200000	1.000000
0.135488	350.000000	32.584945	342.041232	350.000000	0.200000	1.000000
0.135988	350.000000	32.754295	341.663760	350.000000	0.200000	1.000000
0.136488	350.000000	32.923897	341.219502	350.000000	0.200000	1.000000
0.136988	350.000000	33.093426	340.824623	350.000000	0.200000	1.000000
0.137488	350.000000	33.262609	340.513129	350.000000	0.200000	1.000000
0.137988	350.000000	33.431227	340.253230	350.000000	0.200000	1.000000
0.138488	350.000000	33.599463	340.059708	350.000000	0.200000	1.000000
