3/14/2024, 4:29 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.040348	113.000000	4.397284	234.423464	113.000000	0.250000	1.000000	930.555548	1.000000
0.040848	113.000000	4.613051	245.801610	113.000000	0.250000	1.000000	927.716215	1.000000
0.041348	113.000000	4.832974	257.148251	113.000000	0.250000	1.000000	924.837542	1.000000
0.041848	113.000000	5.056812	268.557297	113.000000	0.250000	1.000000	921.915806	1.000000
0.042348	113.000000	5.284308	280.103330	113.000000	0.250000	1.000000	918.954062	1.000000
0.042848	113.000000	5.515553	291.738178	113.000000	0.250000	1.000000	915.964209	1.000000
0.043348	113.000000	5.750571	303.311112	113.000000	0.250000	1.000000	912.954157	1.000000
0.043848	113.000000	5.989327	314.727471	113.000000	0.250000	1.000000	909.925365	1.000000
0.044349	113.000000	6.232100	325.938637	113.000000	0.250000	1.000000	906.885117	1.000000
0.044849	113.000000	6.478702	336.874364	113.000000	0.250000	1.000000	903.836377	1.000000
0.045349	113.000000	6.728922	347.520871	113.000000	0.250000	1.000000	900.776441	1.000000
0.045849	113.000000	6.982891	357.897413	113.000000	0.250000	1.000000	897.709851	1.000000
0.046349	113.000000	7.240666	367.941274	113.000000	0.250000	1.000000	894.641126	1.000000
0.046849	113.000000	7.501877	377.636594	113.000000	0.250000	1.000000	891.567385	1.000000
0.047349	113.000000	7.765801	387.098054	113.000000	0.250000	1.000000	888.483556	1.000000
0.047849	113.000000	8.032521	396.380002	113.000000	0.250000	1.000000	885.388329	1.000000
0.048349	113.000000	8.302786	405.416723	113.000000	0.250000	1.000000	882.286272	1.000000
0.048849	113.000000	8.576813	414.127769	113.000000	0.250000	1.000000	879.176174	1.000000
0.049349	113.000000	8.854366	422.554024	113.000000	0.250000	1.000000	876.055844	1.000000
0.049849	113.000000	9.135195	430.749937	113.000000	0.250000	1.000000	872.921509	1.000000
0.050349	113.000000	9.419045	438.790434	113.000000	0.250000	1.000000	869.767244	1.000000
0.050849	113.000000	9.706020	446.737897	113.000000	0.250000	1.000000	866.590943	1.000000
0.051350	113.000000	9.996525	454.574427	113.000000	0.250000	1.000000	863.395554	1.000000
0.051850	113.000000	10.290484	462.271496	113.000000	0.250000	1.000000	860.184535	1.000000
0.052350	113.000000	10.587422	469.837891	113.000000	0.250000	1.000000	856.959369	1.000000
0.052850	113.000000	10.886899	477.303268	113.000000	0.250000	1.000000	853.718826	1.000000
0.053350	113.000000	11.188872	484.687714	113.000000	0.250000	1.000000	850.460495	1.000000
0.053867	113.000000	11.493629	491.989634	113.000000	0.250000	1.000000	847.100466	1.000000
0.054367	113.000000	11.801372	500.231933	113.000000	0.250000	1.000000	843.751705	1.000000
0.054867	113.000000	12.112228	507.994062	113.000000	0.250000	1.000000	840.411466	1.000000
0.055367	113.000000	12.425895	515.343181	113.000000	0.250000	1.000000	837.074200	1.000000
0.055867	113.000000	12.742079	522.380426	113.000000	0.250000	1.000000	833.729363	1.000000
0.056367	113.000000	13.060860	529.228381	113.000000	0.250000	1.000000	830.372948	1.000000
0.056867	113.000000	13.382268	535.933733	113.000000	0.250000	1.000000	827.010058	1.000000
0.057367	113.000000	13.706289	542.434385	113.000000	0.250000	1.000000	823.649671	1.000000
0.057867	113.000000	14.032512	548.663467	113.000000	0.250000	1.000000	820.289057	1.000000
0.058367	113.000000	14.360198	554.735587	113.000000	0.250000	1.000000	816.915968	1.000000
0.058867	113.000000	14.688709	560.873066	113.000000	0.250000	1.000000	813.521278	1.000000
0.059368	113.000000	15.017859	567.209783	113.000000	0.250000	1.000000	810.100129	1.000000
0.059881	113.000000	15.348207	573.745054	113.000000	0.250000	1.000000	806.585620	1.000000
0.060381	113.000000	15.680569	581.223175	113.000000	0.250000	1.000000	803.082106	1.000000
0.060884	113.000000	16.014872	588.352465	113.000000	0.250000	1.000000	799.569764	1.000000
0.061384	113.000000	16.350665	595.429007	113.000000	0.250000	1.000000	796.062637	1.000000
0.061884	113.000000	16.688273	602.242381	113.000000	0.250000	1.000000	792.558442	1.000000
0.062384	113.000000	17.027942	608.794167	113.000000	0.250000	1.000000	789.060271	1.000000
0.062884	113.000000	17.369849	615.026616	113.000000	0.250000	1.000000	785.569772	1.000000
0.063384	113.000000	17.714109	620.906631	113.000000	0.250000	1.000000	782.077310	1.000000
0.063884	113.000000	18.060060	626.626491	113.000000	0.250000	1.000000	778.763766	1.000000
0.064384	113.000000	18.407123	629.996838	113.000000	0.250000	1.000000	775.471862	1.000000
0.064885	113.000000	18.755521	632.951867	113.000000	0.250000	1.000000	772.189278	1.000000
0.065385	113.000000	19.105784	635.587125	113.000000	0.250000	1.000000	768.910028	1.000000
0.065885	113.000000	19.457606	638.010748	113.000000	0.250000	1.000000	765.622780	1.000000
0.066385	113.000000	19.810344	640.433972	113.000000	0.250000	1.000000	762.307879	1.000000
0.066912	113.000000	20.164171	643.082646	113.000000	0.250000	1.000000	758.796029	1.000000
0.067412	113.000000	20.519216	648.050929	113.000000	0.250000	1.000000	755.283014	1.000000
0.067912	113.000000	20.875571	652.890759	113.000000	0.250000	1.000000	751.755044	1.000000
0.068412	113.000000	21.233654	657.728121	113.000000	0.250000	1.000000	748.214010	1.000000
0.068912	113.000000	21.593067	662.582976	113.000000	0.250000	1.000000	744.665681	1.000000
0.069412	113.000000	21.953095	667.461551	113.000000	0.250000	1.000000	741.100924	1.000000
0.069913	113.000000	22.313855	672.464818	113.000000	0.250000	1.000000	737.662804	1.000000
0.070413	113.000000	22.675433	675.801640	113.000000	0.250000	1.000000	734.231163	1.000000
0.070913	113.000000	23.037529	679.001251	113.000000	0.250000	1.000000	730.843670	1.000000
0.071413	113.000000	23.400245	681.583333	113.000000	0.250000	1.000000	727.468474	1.000000
0.071913	113.000000	23.764021	683.896598	113.000000	0.250000	1.000000	724.098498	1.000000
0.072414	113.000000	24.128846	686.030260	113.000000	0.250000	1.000000	720.730195	1.000000
0.072914	113.000000	24.493973	688.110131	113.000000	0.250000	1.000000	717.347747	1.000000
0.073414	113.000000	24.859134	690.362499	113.000000	0.250000	1.000000	713.939193	1.000000
0.073914	113.000000	25.224827	692.881814	113.000000	0.250000	1.000000	710.504926	1.000000
0.074414	113.000000	25.590739	695.697467	113.000000	0.250000	1.000000	707.043573	1.000000
0.074914	113.000000	25.956604	698.855608	113.000000	0.250000	1.000000	703.541269	1.000000
0.075414	113.000000	26.322923	702.474073	113.000000	0.250000	1.000000	699.989616	1.000000
0.075914	113.000000	26.689749	706.651790	113.000000	0.250000	1.000000	696.390844	1.000000
0.076414	113.000000	27.056755	711.396617	113.000000	0.250000	1.000000	692.734137	1.000000
0.076914	113.000000	27.424028	716.833796	113.000000	0.250000	1.000000	689.344749	1.000000
0.077414	113.000000	27.791998	718.865823	113.000000	0.250000	1.000000	685.976753	1.000000
0.077914	113.000000	28.161016	720.517047	113.000000	0.250000	1.000000	682.623731	1.000000
0.078414	113.000000	28.530998	721.876547	113.000000	0.250000	1.000000	679.281940	1.000000
0.078914	113.000000	28.901498	723.039683	113.000000	0.250000	1.000000	675.951479	1.000000
0.079414	113.000000	29.272496	724.007297	113.000000	0.250000	1.000000	672.629733	1.000000
0.079915	113.000000	29.643969	724.814493	113.000000	0.250000	1.000000	669.313126	1.000000
0.080415	113.000000	30.015529	725.548216	113.000000	0.250000	1.000000	665.999491	1.000000
0.080915	113.000000	30.387212	726.231540	113.000000	0.250000	1.000000	662.685273	1.000000
0.081415	113.000000	30.759407	726.866153	113.000000	0.250000	1.000000	659.363339	1.000000
0.081915	113.000000	31.132072	727.545533	113.000000	0.250000	1.000000	656.031985	1.000000
0.082415	113.000000	31.504440	728.374675	113.000000	0.250000	1.000000	652.682889	1.000000
