3/14/2024, 9:08 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.038984	113.000000	4.664058	108.122498	113.000000	0.250000	1.000000	1065.577738	1.000000
0.039492	113.000000	4.877502	107.904729	113.000000	0.250000	1.000000	1062.664541	1.000000
0.039992	113.000000	5.095271	107.682872	113.000000	0.250000	1.000000	1059.739360	1.000000
0.040492	113.000000	5.317128	107.457185	113.000000	0.250000	1.000000	1056.792835	1.000000
0.040992	113.000000	5.542815	107.227939	113.000000	0.250000	1.000000	1053.870476	1.000000
0.041492	113.000000	5.772061	106.995413	113.000000	0.250000	1.000000	1050.944717	1.000000
0.041992	113.000000	6.004587	106.759526	113.000000	0.250000	1.000000	1048.012238	1.000000
0.042492	113.000000	6.240474	106.519896	113.000000	0.250000	1.000000	1045.065377	1.000000
0.042992	113.000000	6.480104	106.276620	113.000000	0.250000	1.000000	1042.099559	1.000000
0.043492	113.000000	6.723380	106.029833	113.000000	0.250000	1.000000	1039.112337	1.000000
0.043992	113.000000	6.970167	105.779334	113.000000	0.250000	1.000000	1036.101175	1.000000
0.044492	113.000000	7.220666	105.525012	113.000000	0.250000	1.000000	1033.047381	1.000000
0.044993	113.000000	7.474988	105.266828	113.000000	0.250000	1.000000	1030.014140	1.000000
0.045493	113.000000	7.733172	105.005165	113.000000	0.250000	1.000000	1026.943994	1.000000
0.045993	113.000000	7.994835	104.740398	113.000000	0.250000	1.000000	1023.833411	1.000000
0.046493	113.000000	8.259602	104.472159	113.000000	0.250000	1.000000	1020.680225	1.000000
0.046993	113.000000	8.527841	104.200192	113.000000	0.250000	1.000000	1017.486850	1.000000
0.047493	113.000000	8.799808	103.924697	113.000000	0.250000	1.000000	1014.257801	1.000000
0.047999	113.000000	9.075303	103.645894	113.000000	0.250000	1.000000	1010.976910	1.000000
0.048499	113.000000	9.354106	103.364013	113.000000	0.250000	1.000000	1007.671437	1.000000
0.048999	113.000000	9.635987	103.079657	113.000000	0.250000	1.000000	1004.332548	1.000000
0.049499	113.000000	9.920343	102.793726	113.000000	0.250000	1.000000	1001.011403	1.000000
0.049999	113.000000	10.206274	102.505909	113.000000	0.250000	1.000000	997.658443	1.000000
0.050499	113.000000	10.494091	102.214890	113.000000	0.250000	1.000000	994.264440	1.000000
0.050999	113.000000	10.785110	101.920335	113.000000	0.250000	1.000000	990.835252	1.000000
0.051499	113.000000	11.079665	101.622741	113.000000	0.250000	1.000000	987.382762	1.000000
0.051999	113.000000	11.377259	101.322567	113.000000	0.250000	1.000000	983.915910	1.000000
0.052499	113.000000	11.677433	101.020237	113.000000	0.250000	1.000000	980.436983	1.000000
0.052999	113.000000	11.979763	100.715773	113.000000	0.250000	1.000000	976.946372	1.000000
0.053500	113.000000	12.284227	100.408862	113.000000	0.250000	1.000000	973.445127	1.000000
0.054000	113.000000	12.591138	100.099280	113.000000	0.250000	1.000000	969.933553	1.000000
0.054500	113.000000	12.900720	99.786875	113.000000	0.250000	1.000000	966.411210	1.000000
0.055005	113.000000	13.213125	99.471924	113.000000	0.250000	1.000000	962.859481	1.000000
0.055505	113.000000	13.528076	99.154697	113.000000	0.250000	1.000000	959.302703	1.000000
0.056005	113.000000	13.845303	98.835089	113.000000	0.250000	1.000000	955.741335	1.000000
0.056505	113.000000	14.164911	98.512686	113.000000	0.250000	1.000000	952.169766	1.000000
0.057005	113.000000	14.487314	98.186456	113.000000	0.250000	1.000000	948.576746	1.000000
0.057505	113.000000	14.813544	97.856316	113.000000	0.250000	1.000000	944.955421	1.000000
0.058005	113.000000	15.143684	97.522976	113.000000	0.250000	1.000000	941.349271	1.000000
0.058505	113.000000	15.477024	97.185993	113.000000	0.250000	1.000000	937.713200	1.000000
0.059006	113.000000	15.814007	96.844685	113.000000	0.250000	1.000000	934.042633	1.000000
0.059506	113.000000	16.155315	96.499629	113.000000	0.250000	1.000000	930.349407	1.000000
0.060006	113.000000	16.500371	96.152813	113.000000	0.250000	1.000000	926.646836	1.000000
0.060506	113.000000	16.847187	95.805926	113.000000	0.250000	1.000000	922.925828	1.000000
0.061006	113.000000	17.194074	95.459296	113.000000	0.250000	1.000000	919.162809	1.000000
0.061506	113.000000	17.540704	95.112834	113.000000	0.250000	1.000000	915.341232	1.000000
0.062006	113.000000	17.887166	94.766460	113.000000	0.250000	1.000000	911.455279	1.000000
0.062506	113.000000	18.233540	94.420108	113.000000	0.250000	1.000000	907.509152	1.000000
0.063006	113.000000	18.579892	94.073358	113.000000	0.250000	1.000000	903.512076	1.000000
0.063506	113.000000	18.926642	93.725505	113.000000	0.250000	1.000000	899.474727	1.000000
0.064006	113.000000	19.274495	93.375972	113.000000	0.250000	1.000000	895.410206	1.000000
0.064506	113.000000	19.624028	93.024664	113.000000	0.250000	1.000000	891.332369	1.000000
0.065006	113.000000	19.975336	92.671890	113.000000	0.250000	1.000000	887.304992	1.000000
0.065506	113.000000	20.328110	92.317565	113.000000	0.250000	1.000000	883.316205	1.000000
0.066006	113.000000	20.682435	91.961643	113.000000	0.250000	1.000000	879.384067	1.000000
0.066507	113.000000	21.038357	91.604469	113.000000	0.250000	1.000000	875.524106	1.000000
0.067007	113.000000	21.395531	91.245990	113.000000	0.250000	1.000000	871.732660	1.000000
0.067507	113.000000	21.754010	90.886177	113.000000	0.250000	1.000000	867.999853	1.000000
0.068007	113.000000	22.113823	90.525392	113.000000	0.250000	1.000000	864.321601	1.000000
0.068507	113.000000	22.474608	90.163585	113.000000	0.250000	1.000000	860.679013	1.000000
0.069007	113.000000	22.836415	89.800009	113.000000	0.250000	1.000000	857.037202	1.000000
0.069507	113.000000	23.199991	89.434060	113.000000	0.250000	1.000000	853.360696	1.000000
0.070007	113.000000	23.565940	89.065995	113.000000	0.250000	1.000000	849.636118	1.000000
0.070507	113.000000	23.934005	88.695695	113.000000	0.250000	1.000000	845.862447	1.000000
0.071007	113.000000	24.304305	88.323094	113.000000	0.250000	1.000000	842.042050	1.000000
0.071507	113.000000	24.676906	87.948894	113.000000	0.250000	1.000000	838.183902	1.000000
0.072007	113.000000	25.051106	87.572982	113.000000	0.250000	1.000000	834.292153	1.000000
0.072507	113.000000	25.427018	87.194925	113.000000	0.250000	1.000000	830.371269	1.000000
0.073007	113.000000	25.805075	86.815116	113.000000	0.250000	1.000000	826.432003	1.000000
0.073508	113.000000	26.184884	86.434274	113.000000	0.250000	1.000000	822.478925	1.000000
0.074008	113.000000	26.565726	86.052650	113.000000	0.250000	1.000000	818.504707	1.000000
0.074508	113.000000	26.947350	85.670105	113.000000	0.250000	1.000000	814.498202	1.000000
0.075008	113.000000	27.329895	85.286900	113.000000	0.250000	1.000000	810.463535	1.000000
0.075509	113.000000	27.713100	84.903260	113.000000	0.250000	1.000000	806.397479	1.000000
0.076009	113.000000	28.096740	84.519019	113.000000	0.250000	1.000000	802.297725	1.000000
0.076509	113.000000	28.480981	84.134047	113.000000	0.250000	1.000000	798.168405	1.000000
0.077009	113.000000	28.865953	83.747883	113.000000	0.250000	1.000000	794.013235	1.000000
0.077509	113.000000	29.252117	83.360158	113.000000	0.250000	1.000000	789.839985	1.000000
0.078009	113.000000	29.639842	82.970948	113.000000	0.250000	1.000000	785.663960	1.000000
0.078509	113.000000	30.029052	82.580702	113.000000	0.250000	1.000000	781.502744	1.000000
0.079009	113.000000	30.419298	82.190171	113.000000	0.250000	1.000000	777.364792	1.000000
0.079509	113.000000	30.809829	81.799627	113.000000	0.250000	1.000000	773.248524	1.000000
0.080009	113.000000	31.200373	81.408934	113.000000	0.250000	1.000000	769.150116	1.000000
0.080509	113.000000	31.591066	81.017619	113.000000	0.250000	1.000000	765.062962	1.000000
0.083015	113.000000	31.982381	80.624211	113.000000	0.250000	1.000000	750.102840	1.000000
0.083515	113.000000	32.375789	80.227866	113.000000	0.250000	1.000000	744.302826	1.000000
0.084015	113.000000	32.772134	79.827925	113.000000	0.250000	1.000000	740.333072	1.000000
0.084517	113.000000	33.172075	79.421712	113.000000	0.250000	1.000000	737.283370	1.000000
0.085017	113.000000	33.578288	79.008528	113.000000	0.250000	1.000000	735.007351	1.000000
0.085517	113.000000	33.991472	78.590784	113.000000	0.250000	1.000000	733.557898	1.000000
0.086018	113.000000	34.409216	78.170568	113.000000	0.250000	1.000000	732.995914	1.000000
0.086519	113.000000	34.829432	77.749299	113.000000	0.250000	1.000000	733.280069	1.000000
0.087019	113.000000	35.250701	77.327818	113.000000	0.250000	1.000000	734.194814	1.000000
0.087519	113.000000	35.672182	76.906471	113.000000	0.250000	1.000000	735.348161	1.000000
0.088019	113.000000	36.093529	76.485909	113.000000	0.250000	1.000000	736.243578	1.000000
0.088519	113.000000	36.514091	76.066662	113.000000	0.250000	1.000000	736.414665	1.000000
0.089019	113.000000	36.933338	75.648434	113.000000	0.250000	1.000000	735.542611	1.000000
0.089519	113.000000	37.351566	75.231323	113.000000	0.250000	1.000000	733.505461	1.000000
0.090019	113.000000	37.768677	74.815756	113.000000	0.250000	1.000000	730.327855	1.000000
0.090519	113.000000	38.184244	74.401347	113.000000	0.250000	1.000000	726.075405	1.000000
0.091019	113.000000	38.598653	73.987752	113.000000	0.250000	1.000000	720.732820	1.000000
0.091520	113.000000	39.012248	73.575037	113.000000	0.250000	1.000000	713.951322	1.000000
0.092020	113.000000	39.424963	73.159258	113.000000	0.250000	1.000000	704.032240	1.000000
0.092527	113.000000	39.840742	72.732813	113.000000	0.250000	1.000000	677.644621	1.000000
0.093027	113.000000	40.267187	72.293114	113.000000	0.250000	1.000000	672.968880	1.000000
0.093527	113.000000	40.706886	71.842531	113.000000	0.250000	1.000000	668.462876	1.000000
0.094028	113.000000	41.157469	71.383570	113.000000	0.250000	1.000000	664.142729	1.000000
0.094566	113.000000	41.616430	70.918810	113.000000	0.250000	1.000000	659.803360	1.000000
0.095066	113.000000	42.081190	70.450859	113.000000	0.250000	1.000000	655.589270	1.000000
0.095566	113.000000	42.549141	69.981583	113.000000	0.250000	1.000000	651.409099	1.000000
0.096066	113.000000	43.018417	69.511838	113.000000	0.250000	1.000000	647.179670	1.000000
0.096566	113.000000	43.488162	69.042712	113.000000	0.250000	1.000000	642.847018	1.000000
0.097066	113.000000	43.957288	68.576191	113.000000	0.250000	1.000000	638.352647	1.000000
0.097566	113.000000	44.423809	68.113540	113.000000	0.250000	1.000000	633.655148	1.000000
0.098066	113.000000	44.886460	67.654673	113.000000	0.250000	1.000000	628.725231	1.000000
0.098566	113.000000	45.345327	67.199466	113.000000	0.250000	1.000000	623.560720	1.000000
0.099066	113.000000	45.800534	66.748122	113.000000	0.250000	1.000000	618.182691	1.000000
0.099566	113.000000	46.251878	66.300756	113.000000	0.250000	1.000000	612.630936	1.000000
0.100066	113.000000	46.699244	65.857769	113.000000	0.250000	1.000000	606.971060	1.000000
0.100567	113.000000	47.142231	65.419432	113.000000	0.250000	1.000000	601.284603	1.000000
0.101067	113.000000	47.580568	64.985544	113.000000	0.250000	1.000000	595.664536	1.000000
0.101567	113.000000	48.014456	64.556234	113.000000	0.250000	1.000000	590.221403	1.000000
