3/14/2024, 4:32 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.037458	113.000000	0.221667	-7.366930	113.000000	0.250000	1.000000	1126.233438	1.000000
0.037958	113.000000	0.343148	5.584668	113.000000	0.250000	1.000000	1124.169077	1.000000
0.038458	113.000000	0.470301	18.798602	113.000000	0.250000	1.000000	1122.038951	1.000000
0.038958	113.000000	0.602895	32.201707	113.000000	0.250000	1.000000	1119.846598	1.000000
0.039458	113.000000	0.740658	45.780296	113.000000	0.250000	1.000000	1117.588057	1.000000
0.039958	113.000000	0.883652	59.590417	113.000000	0.250000	1.000000	1115.264597	1.000000
0.040458	113.000000	1.031849	73.615191	113.000000	0.250000	1.000000	1112.882617	1.000000
0.040958	113.000000	1.185154	87.764109	113.000000	0.250000	1.000000	1110.450794	1.000000
0.041458	113.000000	1.343410	101.918382	113.000000	0.250000	1.000000	1107.974494	1.000000
0.043955	113.000000	1.506780	115.961840	113.000000	0.250000	1.000000	1100.310083	1.000000
0.044455	113.000000	1.678944	215.008012	113.000000	0.250000	1.000000	1096.811366	1.000000
0.044955	113.000000	1.866117	242.124394	113.000000	0.250000	1.000000	1094.068625	1.000000
0.045455	113.000000	2.069664	253.912327	113.000000	0.250000	1.000000	1091.697780	1.000000
0.045955	113.000000	2.286866	257.225997	113.000000	0.250000	1.000000	1089.654177	1.000000
0.046455	113.000000	2.515614	253.161408	113.000000	0.250000	1.000000	1087.967236	1.000000
0.046955	113.000000	2.754335	241.490207	113.000000	0.250000	1.000000	1086.671283	1.000000
0.047455	113.000000	3.001570	221.883694	113.000000	0.250000	1.000000	1085.751877	1.000000
0.047955	113.000000	3.256333	194.746537	113.000000	0.250000	1.000000	1085.105862	1.000000
0.048455	113.000000	3.517693	161.953458	113.000000	0.250000	1.000000	1084.530737	1.000000
0.048956	113.000000	3.784411	127.085902	113.000000	0.250000	1.000000	1083.761848	1.000000
0.049456	113.000000	4.055734	94.680172	113.000000	0.250000	1.000000	1082.552439	1.000000
0.049956	113.000000	4.331328	68.904601	113.000000	0.250000	1.000000	1080.743142	1.000000
0.050456	113.000000	4.610490	52.532653	113.000000	0.250000	1.000000	1078.278625	1.000000
0.050956	113.000000	4.892215	46.653744	113.000000	0.250000	1.000000	1075.178098	1.000000
0.051456	113.000000	5.175989	51.033503	113.000000	0.250000	1.000000	1071.482912	1.000000
0.051956	113.000000	5.461714	64.999184	113.000000	0.250000	1.000000	1067.191190	1.000000
0.052456	113.000000	5.749278	88.600515	113.000000	0.250000	1.000000	1062.125073	1.000000
0.053020	113.000000	6.038562	124.821731	113.000000	0.250000	1.000000	1055.159581	1.000000
0.053520	113.000000	6.329442	192.433291	113.000000	0.250000	1.000000	1037.470179	1.000000
0.054020	113.000000	6.621790	438.532054	113.000000	0.250000	1.000000	1033.053829	1.000000
