3/14/2024, 9:35 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.038695	6.775474	1.849055	4.943357	113.000000	0.250000	0.000000	255.750000	0.000000
0.039195	6.864080	1.920724	4.959221	113.000000	0.250000	0.000000	255.750000	0.000000
0.039695	6.952682	1.993461	4.973774	113.000000	0.250000	0.000000	255.750000	0.000000
0.040195	7.041262	2.067488	4.986884	113.000000	0.250000	0.000000	255.750000	0.000000
0.040695	7.129855	2.142971	4.998416	113.000000	0.250000	0.000000	255.750000	0.000000
0.041195	7.218444	2.220028	5.008292	113.000000	0.250000	0.000000	255.750000	0.000000
0.041695	7.307028	2.298736	5.016819	113.000000	0.250000	0.000000	255.750000	0.000000
0.042195	7.395590	2.378771	5.024682	113.000000	0.250000	0.000000	255.750000	0.000000
0.042695	7.484165	2.459483	5.032057	113.000000	0.250000	0.000000	255.750000	0.000000
0.043195	7.572735	2.540678	5.038732	113.000000	0.250000	0.000000	255.750000	0.000000
0.043703	7.661283	2.622551	5.045884	113.000000	0.250000	0.000000	255.750000	0.000000
0.044203	7.751137	2.705254	5.050828	113.000000	0.250000	0.000000	255.750000	0.000000
0.044703	7.839729	2.788901	5.055048	113.000000	0.250000	0.000000	255.750000	0.000000
0.045203	7.928263	2.873215	5.059203	113.000000	0.250000	0.000000	255.750000	0.000000
0.045703	8.016792	2.957589	5.063438	113.000000	0.250000	0.000000	255.750000	0.000000
0.046203	8.105315	3.041878	5.067529	113.000000	0.250000	0.000000	255.750000	0.000000
0.046703	8.193852	3.126323	5.071259	113.000000	0.250000	0.000000	255.750000	0.000000
0.047203	8.282384	3.211124	5.074448	113.000000	0.250000	0.000000	255.750000	0.000000
0.047703	8.370892	3.296444	5.077003	113.000000	0.250000	0.000000	255.750000	0.000000
0.048203	8.459413	3.382410	5.078808	113.000000	0.250000	0.000000	255.750000	0.000000
0.048704	8.547930	3.469121	5.079792	113.000000	0.250000	0.000000	255.750000	0.000000
0.049204	8.636440	3.556648	5.079889	113.000000	0.250000	0.000000	255.750000	0.000000
0.049704	8.724928	3.645039	5.079107	113.000000	0.250000	0.000000	255.750000	0.000000
0.050204	8.813428	3.734321	5.077419	113.000000	0.250000	0.000000	255.750000	0.000000
0.050704	8.901923	3.824504	5.074810	113.000000	0.250000	0.000000	255.750000	0.000000
0.051204	8.990394	3.915584	5.071333	113.000000	0.250000	0.000000	255.750000	0.000000
0.051704	9.078878	4.007545	5.066997	113.000000	0.250000	0.000000	255.750000	0.000000
0.052204	9.167356	4.100358	5.061820	113.000000	0.250000	0.000000	255.750000	0.000000
0.052704	9.255810	4.193991	5.055877	113.000000	0.250000	0.000000	255.750000	0.000000
0.053212	9.344277	4.288400	5.050558	113.000000	0.250000	0.000000	255.750000	0.000000
0.053712	9.434100	4.383542	5.043171	113.000000	0.250000	0.000000	255.750000	0.000000
0.054212	9.522537	4.479366	5.035163	113.000000	0.250000	0.000000	255.750000	0.000000
0.054733	9.610986	4.575823	5.030212	113.000000	0.250000	0.000000	255.750000	0.000000
0.055233	9.703072	4.672860	5.021064	113.000000	0.250000	0.000000	255.750000	0.000000
0.055733	9.791491	4.770427	5.011450	113.000000	0.250000	0.000000	255.750000	0.000000
0.056233	9.879922	4.868472	5.001384	113.000000	0.250000	0.000000	255.750000	0.000000
0.056733	9.968329	4.966945	4.990948	113.000000	0.250000	0.000000	255.750000	0.000000
0.057233	10.056748	5.065799	4.980171	113.000000	0.250000	0.000000	255.750000	0.000000
0.057733	10.145160	5.164989	4.969094	113.000000	0.250000	0.000000	255.750000	0.000000
0.058233	10.233566	5.264472	4.957741	113.000000	0.250000	0.000000	255.750000	0.000000
0.058733	10.321948	5.364207	4.946184	113.000000	0.250000	0.000000	255.750000	0.000000
0.059233	10.410342	5.464157	4.934440	113.000000	0.250000	0.000000	255.750000	0.000000
0.059733	10.498729	5.564289	4.922522	113.000000	0.250000	0.000000	255.750000	0.000000
0.060233	10.587092	5.664569	4.910495	113.000000	0.250000	0.000000	255.750000	0.000000
0.060733	10.675466	5.764971	4.898364	113.000000	0.250000	0.000000	255.750000	0.000000
0.061233	10.763833	5.865469	4.885775	113.000000	0.250000	0.000000	255.750000	0.000000
0.061734	10.852176	5.966401	4.872122	113.000000	0.250000	0.000000	255.750000	0.000000
0.062234	10.940530	6.068408	4.857229	113.000000	0.250000	0.000000	255.750000	0.000000
0.062734	11.028878	6.171649	4.841326	113.000000	0.250000	0.000000	255.750000	0.000000
0.063234	11.117200	6.275875	4.824670	113.000000	0.250000	0.000000	255.750000	0.000000
0.063734	11.205534	6.380864	4.807440	113.000000	0.250000	0.000000	255.750000	0.000000
0.064234	11.293861	6.486421	4.789791	113.000000	0.250000	0.000000	255.750000	0.000000
0.064734	11.382163	6.592372	4.771909	113.000000	0.250000	0.000000	255.750000	0.000000
0.065234	11.470476	6.698566	4.753544	113.000000	0.250000	0.000000	255.750000	0.000000
0.065734	11.558781	6.805238	4.734507	113.000000	0.250000	0.000000	255.750000	0.000000
0.066234	11.647080	6.912573	4.715357	113.000000	0.250000	0.000000	255.750000	0.000000
0.066734	11.735354	7.019997	4.696613	113.000000	0.250000	0.000000	255.750000	0.000000
0.067234	11.823638	7.127024	4.677934	113.000000	0.250000	0.000000	255.750000	0.000000
0.067734	11.911915	7.233980	4.658666	113.000000	0.250000	0.000000	255.750000	0.000000
0.068234	12.000166	7.341501	4.638683	113.000000	0.250000	0.000000	255.750000	0.000000
