3/14/2024, 9:26 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.039515	113.000000	2.564179	110.313453	113.000000	0.250000	1.000000	511.500000	0.000000
0.040015	113.000000	2.686547	110.189084	113.000000	0.250000	1.000000	511.500000	0.000000
0.040515	113.000000	2.810916	110.063031	113.000000	0.250000	1.000000	511.500000	0.000000
0.041015	113.000000	2.936969	109.935220	113.000000	0.250000	1.000000	511.500000	0.000000
0.041515	113.000000	3.064780	109.805616	113.000000	0.250000	1.000000	511.500000	0.000000
0.042015	113.000000	3.194384	109.673855	113.000000	0.250000	1.000000	511.500000	0.000000
0.042515	113.000000	3.326145	109.539660	113.000000	0.250000	1.000000	511.500000	0.000000
0.043015	113.000000	3.460340	109.403199	113.000000	0.250000	1.000000	511.500000	0.000000
0.043515	113.000000	3.596801	109.264644	113.000000	0.250000	1.000000	511.500000	0.000000
0.044018	113.000000	3.735356	109.124172	113.000000	0.250000	1.000000	511.500000	0.000000
0.044518	113.000000	3.875828	108.981955	113.000000	0.250000	1.000000	511.500000	0.000000
0.045018	113.000000	4.018045	108.838166	113.000000	0.250000	1.000000	511.500000	0.000000
0.045518	113.000000	4.161834	108.692970	113.000000	0.250000	1.000000	511.500000	0.000000
0.046018	113.000000	4.307030	108.546527	113.000000	0.250000	1.000000	511.500000	0.000000
0.046518	113.000000	4.453473	108.398264	113.000000	0.250000	1.000000	511.500000	0.000000
0.047018	113.000000	4.601736	108.247366	113.000000	0.250000	1.000000	511.500000	0.000000
0.047519	113.000000	4.752634	108.093912	113.000000	0.250000	1.000000	511.500000	0.000000
0.048019	113.000000	4.906088	107.938369	113.000000	0.250000	1.000000	511.500000	0.000000
0.048519	113.000000	5.061631	107.781519	113.000000	0.250000	1.000000	511.500000	0.000000
0.049019	113.000000	5.218481	107.624037	113.000000	0.250000	1.000000	511.500000	0.000000
0.049519	113.000000	5.375963	107.466133	113.000000	0.250000	1.000000	511.500000	0.000000
0.050019	113.000000	5.533867	107.307629	113.000000	0.250000	1.000000	511.500000	0.000000
0.050519	113.000000	5.692371	107.148022	113.000000	0.250000	1.000000	511.500000	0.000000
0.051019	113.000000	5.851978	106.987268	113.000000	0.250000	1.000000	511.500000	0.000000
0.051519	113.000000	6.012732	106.825347	113.000000	0.250000	1.000000	511.500000	0.000000
0.052019	113.000000	6.174653	106.661898	113.000000	0.250000	1.000000	511.500000	0.000000
0.052519	113.000000	6.338102	106.497002	113.000000	0.250000	1.000000	511.500000	0.000000
0.053019	113.000000	6.502998	106.331110	113.000000	0.250000	1.000000	511.500000	0.000000
0.053519	113.000000	6.668890	106.164254	113.000000	0.250000	1.000000	511.500000	0.000000
0.054019	113.000000	6.835746	105.996471	113.000000	0.250000	1.000000	511.500000	0.000000
0.054519	113.000000	7.003529	105.827808	113.000000	0.250000	1.000000	511.500000	0.000000
0.055020	113.000000	7.172192	105.657593	113.000000	0.250000	1.000000	511.500000	0.000000
0.055520	113.000000	7.342407	105.485284	113.000000	0.250000	1.000000	511.500000	0.000000
0.056020	113.000000	7.514716	105.311183	113.000000	0.250000	1.000000	511.500000	0.000000
0.056520	113.000000	7.688817	105.135931	113.000000	0.250000	1.000000	511.500000	0.000000
0.057020	113.000000	7.864069	104.959720	113.000000	0.250000	1.000000	511.500000	0.000000
0.057520	113.000000	8.040280	104.782361	113.000000	0.250000	1.000000	511.500000	0.000000
0.058020	113.000000	8.217639	104.604074	113.000000	0.250000	1.000000	511.500000	0.000000
0.058520	113.000000	8.395926	104.425421	113.000000	0.250000	1.000000	511.500000	0.000000
0.059020	113.000000	8.574579	104.246515	113.000000	0.250000	1.000000	511.500000	0.000000
0.059520	113.000000	8.753485	104.067090	113.000000	0.250000	1.000000	511.500000	0.000000
0.060020	113.000000	8.932910	103.886934	113.000000	0.250000	1.000000	511.500000	0.000000
0.060520	113.000000	9.113066	103.705877	113.000000	0.250000	1.000000	511.500000	0.000000
