3/14/2024, 9:31 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.000000	-113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	1023.000000	0.000000
0.004619	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	1023.000000	0.000000
0.005119	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	1023.000000	0.000000
0.005619	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	1023.000000	0.000000
0.006123	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	1023.000000	0.000000
0.006623	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	1023.000000	0.000000
0.007124	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	1023.000000	0.000000
0.007629	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	1023.000000	0.000000
0.008129	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	1023.000000	0.000000
0.008629	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	1023.000000	0.000000
0.009129	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	1023.000000	0.000000
0.009629	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	1023.000000	0.000000
0.010129	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	1023.000000	0.000000
0.010634	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	1023.000000	0.000000
0.011134	113.000000	0.000000	113.000362	113.000000	0.250000	1.000000	1023.000000	0.000000
0.011634	113.000000	-0.000362	113.001747	113.000000	0.250000	1.000000	1023.000000	0.000000
0.012134	113.000000	-0.001747	113.004329	113.000000	0.250000	1.000000	1023.000000	0.000000
0.012634	113.000000	-0.004329	113.008239	113.000000	0.250000	1.000000	1023.000000	0.000000
0.013134	113.000000	-0.008239	113.013928	113.000000	0.250000	1.000000	1023.000000	0.000000
0.013634	113.000000	-0.013928	113.021749	113.000000	0.250000	1.000000	1023.000000	0.000000
0.014134	113.000000	-0.021749	113.032327	113.000000	0.250000	1.000000	1023.000000	0.000000
0.014634	113.000000	-0.032327	113.046147	113.000000	0.250000	1.000000	1023.000000	0.000000
0.015134	113.000000	-0.046147	113.063206	113.000000	0.250000	1.000000	1023.000000	0.000000
0.015634	113.000000	-0.063206	113.083452	113.000000	0.250000	1.000000	1023.000000	0.000000
0.016137	113.000000	-0.083452	113.106799	113.000000	0.250000	1.000000	1023.000000	0.000000
0.016637	113.000000	-0.106799	113.133127	113.000000	0.250000	1.000000	1023.000000	0.000000
0.017137	113.000000	-0.133127	113.162294	113.000000	0.250000	1.000000	1023.000000	0.000000
0.017638	113.000000	-0.162294	113.194139	113.000000	0.250000	1.000000	1023.000000	0.000000
0.018138	113.000000	-0.194139	113.228490	113.000000	0.250000	1.000000	1023.000000	0.000000
0.018638	113.000000	-0.228490	113.265165	113.000000	0.250000	1.000000	1023.000000	0.000000
0.019138	113.000000	-0.265165	113.303617	113.000000	0.250000	1.000000	1023.000000	0.000000
0.019638	113.000000	-0.303617	113.343361	113.000000	0.250000	1.000000	1023.000000	0.000000
0.020138	113.000000	-0.343361	113.384336	113.000000	0.250000	1.000000	1023.000000	0.000000
0.020638	113.000000	-0.384336	113.426109	113.000000	0.250000	1.000000	1023.000000	0.000000
0.021138	113.000000	-0.426109	113.467947	113.000000	0.250000	1.000000	1023.000000	0.000000
0.021638	113.000000	-0.467947	113.509231	113.000000	0.250000	1.000000	1023.000000	0.000000
0.022138	113.000000	-0.509231	113.549093	113.000000	0.250000	1.000000	1023.000000	0.000000
0.022638	113.000000	-0.549093	113.586461	113.000000	0.250000	1.000000	1023.000000	0.000000
0.023138	113.000000	-0.586461	113.620838	113.000000	0.250000	1.000000	1023.000000	0.000000
0.023638	113.000000	-0.620838	113.651852	113.000000	0.250000	1.000000	1023.000000	0.000000
0.024138	113.000000	-0.651852	113.678513	113.000000	0.250000	1.000000	1023.000000	0.000000
0.024638	113.000000	-0.678513	113.700058	113.000000	0.250000	1.000000	1023.000000	0.000000
0.025139	113.000000	-0.700058	113.716284	113.000000	0.250000	1.000000	1023.000000	0.000000
0.025639	113.000000	-0.716284	113.727097	113.000000	0.250000	1.000000	1023.000000	0.000000
0.026139	113.000000	-0.727097	113.732497	113.000000	0.250000	1.000000	1023.000000	0.000000
0.026639	113.000000	-0.732497	113.732201	113.000000	0.250000	1.000000	1023.000000	0.000000
0.027139	113.000000	-0.732201	113.725692	113.000000	0.250000	1.000000	1023.000000	0.000000
0.027699	113.000000	-0.725692	113.712627	113.000000	0.250000	1.000000	1023.000000	0.000000
0.028199	113.000000	-0.712627	113.692815	113.000000	0.250000	1.000000	1023.000000	0.000000
0.028699	113.000000	-0.692815	113.666191	113.000000	0.250000	1.000000	1023.000000	0.000000
0.029199	113.000000	-0.666191	113.632803	113.000000	0.250000	1.000000	1023.000000	0.000000
0.029699	113.000000	-0.632803	113.592787	113.000000	0.250000	1.000000	1023.000000	0.000000
0.030199	113.000000	-0.592787	113.546352	113.000000	0.250000	1.000000	1023.000000	0.000000
0.030700	113.000000	-0.546352	113.493406	113.000000	0.250000	1.000000	1023.000000	0.000000
0.031203	113.000000	-0.493406	113.433603	113.000000	0.250000	1.000000	1023.000000	0.000000
0.031703	113.000000	-0.433603	113.367115	113.000000	0.250000	1.000000	1023.000000	0.000000
0.032203	113.000000	-0.367115	113.294182	113.000000	0.250000	1.000000	1023.000000	0.000000
0.032703	113.000000	-0.294182	113.214738	113.000000	0.250000	1.000000	1023.000000	0.000000
0.033203	113.000000	-0.214738	113.128821	113.000000	0.250000	1.000000	1023.000000	0.000000
0.033703	113.000000	-0.128821	113.036555	113.000000	0.250000	1.000000	1023.000000	0.000000
0.034203	113.000000	-0.036555	112.938139	113.000000	0.250000	1.000000	1023.000000	0.000000
0.034703	113.000000	0.061861	112.833465	113.000000	0.250000	1.000000	1023.000000	0.000000
0.035203	113.000000	0.166535	112.722531	113.000000	0.250000	1.000000	1023.000000	0.000000
0.035703	113.000000	0.277469	112.605793	113.000000	0.250000	1.000000	1023.000000	0.000000
0.036214	113.000000	0.394207	112.483350	113.000000	0.250000	1.000000	1023.000000	0.000000
0.036714	113.000000	0.516650	112.355009	113.000000	0.250000	1.000000	1023.000000	0.000000
0.037214	113.000000	0.644991	112.221052	113.000000	0.250000	1.000000	1023.000000	0.000000
0.037714	113.000000	0.778948	112.082164	113.000000	0.250000	1.000000	1023.000000	0.000000
0.038214	113.000000	0.917836	111.938622	113.000000	0.250000	1.000000	1023.000000	0.000000
0.038714	113.000000	1.061378	111.790367	113.000000	0.250000	1.000000	1023.000000	0.000000
0.039215	113.000000	1.209633	111.637055	113.000000	0.250000	1.000000	1023.000000	0.000000
0.039715	113.000000	1.362945	111.478470	113.000000	0.250000	1.000000	1023.000000	0.000000
0.040215	113.000000	1.521530	111.314872	113.000000	0.250000	1.000000	1023.000000	0.000000
0.040715	113.000000	1.685128	111.146186	113.000000	0.250000	1.000000	1023.000000	0.000000
0.041215	113.000000	1.853814	110.972425	113.000000	0.250000	1.000000	1023.000000	0.000000
0.041715	113.000000	2.027575	110.794036	113.000000	0.250000	1.000000	1023.000000	0.000000
0.042215	113.000000	2.205964	110.611096	113.000000	0.250000	1.000000	1023.000000	0.000000
0.042715	113.000000	2.388904	110.423376	113.000000	0.250000	1.000000	1023.000000	0.000000
0.043215	113.000000	2.576624	110.230751	113.000000	0.250000	1.000000	1023.000000	0.000000
0.043715	113.000000	2.769249	110.033189	113.000000	0.250000	1.000000	1023.000000	0.000000
0.044215	113.000000	2.966811	109.830734	113.000000	0.250000	1.000000	1023.000000	0.000000
0.044715	113.000000	3.169266	109.623855	113.000000	0.250000	1.000000	1023.000000	0.000000
0.045215	113.000000	3.376145	109.413012	113.000000	0.250000	1.000000	1023.000000	0.000000
0.045715	113.000000	3.586988	109.197919	113.000000	0.250000	1.000000	1023.000000	0.000000
0.046215	113.000000	3.802081	108.978402	113.000000	0.250000	1.000000	1023.000000	0.000000
0.046716	113.000000	4.021598	108.754737	113.000000	0.250000	1.000000	1023.000000	0.000000
0.047216	113.000000	4.245263	108.527221	113.000000	0.250000	1.000000	1023.000000	0.000000
0.047716	113.000000	4.472779	108.296153	113.000000	0.250000	1.000000	1023.000000	0.000000
0.048216	113.000000	4.703847	108.061838	113.000000	0.250000	1.000000	1023.000000	0.000000
0.048716	113.000000	4.938162	107.824215	113.000000	0.250000	1.000000	1023.000000	0.000000
0.049216	113.000000	5.175785	107.582919	113.000000	0.250000	1.000000	1023.000000	0.000000
0.049716	113.000000	5.417081	107.338060	113.000000	0.250000	1.000000	1023.000000	0.000000
0.050216	113.000000	5.661940	107.089781	113.000000	0.250000	1.000000	1023.000000	0.000000
0.050716	113.000000	5.910219	106.837891	113.000000	0.250000	1.000000	1023.000000	0.000000
0.051216	113.000000	6.162109	106.582279	113.000000	0.250000	1.000000	1023.000000	0.000000
0.051716	113.000000	6.417721	106.322909	113.000000	0.250000	1.000000	1023.000000	0.000000
0.052216	113.000000	6.677091	106.059804	113.000000	0.250000	1.000000	1023.000000	0.000000
0.052716	113.000000	6.940196	105.793038	113.000000	0.250000	1.000000	1023.000000	0.000000
0.053216	113.000000	7.206962	105.523087	113.000000	0.250000	1.000000	1023.000000	0.000000
0.053717	113.000000	7.476913	105.250398	113.000000	0.250000	1.000000	1023.000000	0.000000
0.054217	113.000000	7.749602	104.974657	113.000000	0.250000	1.000000	1023.000000	0.000000
0.054717	113.000000	8.025343	104.695649	113.000000	0.250000	1.000000	1023.000000	0.000000
0.055217	113.000000	8.304351	104.413963	113.000000	0.250000	1.000000	1023.000000	0.000000
0.055717	113.000000	8.586037	104.129770	113.000000	0.250000	1.000000	1023.000000	0.000000
0.056217	113.000000	8.870230	103.842525	113.000000	0.250000	1.000000	1023.000000	0.000000
0.056717	113.000000	9.157475	103.552178	113.000000	0.250000	1.000000	1023.000000	0.000000
0.057217	113.000000	9.447822	103.258731	113.000000	0.250000	1.000000	1023.000000	0.000000
0.057717	113.000000	9.741269	102.961871	113.000000	0.250000	1.000000	1023.000000	0.000000
0.058217	113.000000	10.038129	102.661746	113.000000	0.250000	1.000000	1023.000000	0.000000
0.058717	113.000000	10.338254	102.358888	113.000000	0.250000	1.000000	1023.000000	0.000000
0.059217	113.000000	10.641112	102.053784	113.000000	0.250000	1.000000	1023.000000	0.000000
0.059717	113.000000	10.946216	101.746512	113.000000	0.250000	1.000000	1023.000000	0.000000
0.060217	113.000000	11.253488	101.436806	113.000000	0.250000	1.000000	1023.000000	0.000000
0.060717	113.000000	11.563194	101.124478	113.000000	0.250000	1.000000	1023.000000	0.000000
0.061218	113.000000	11.875522	100.809772	113.000000	0.250000	1.000000	1023.000000	0.000000
0.061718	113.000000	12.190228	100.493287	113.000000	0.250000	1.000000	1023.000000	0.000000
0.062218	113.000000	12.506713	100.174828	113.000000	0.250000	1.000000	1023.000000	0.000000
0.062718	113.000000	12.825172	99.853898	113.000000	0.250000	1.000000	1023.000000	0.000000
0.063218	113.000000	13.146102	99.530477	113.000000	0.250000	1.000000	1023.000000	0.000000
0.063718	113.000000	13.469523	99.204586	113.000000	0.250000	1.000000	1023.000000	0.000000
0.064218	113.000000	13.795414	98.876278	113.000000	0.250000	1.000000	1023.000000	0.000000
0.064718	113.000000	14.123722	98.545632	113.000000	0.250000	1.000000	1023.000000	0.000000
0.065218	113.000000	14.454368	98.212748	113.000000	0.250000	1.000000	1023.000000	0.000000
0.065718	113.000000	14.787252	97.877743	113.000000	0.250000	1.000000	1023.000000	0.000000
0.066218	113.000000	15.122257	97.540746	113.000000	0.250000	1.000000	1023.000000	0.000000
0.066718	113.000000	15.459254	97.201529	113.000000	0.250000	1.000000	1023.000000	0.000000
0.067229	113.000000	15.798471	96.859574	113.000000	0.250000	1.000000	1023.000000	0.000000
0.067729	113.000000	16.140426	96.515209	113.000000	0.250000	1.000000	1023.000000	0.000000
0.068230	113.000000	16.484791	96.169471	113.000000	0.250000	1.000000	1023.000000	0.000000
0.068730	113.000000	16.830529	95.822521	113.000000	0.250000	1.000000	1023.000000	0.000000
0.069230	113.000000	17.177479	95.473787	113.000000	0.250000	1.000000	1023.000000	0.000000
0.069730	113.000000	17.526213	95.122818	113.000000	0.250000	1.000000	1023.000000	0.000000
0.070230	113.000000	17.877182	94.769267	113.000000	0.250000	1.000000	1023.000000	0.000000
0.070730	113.000000	18.230733	94.413243	113.000000	0.250000	1.000000	1023.000000	0.000000
0.071230	113.000000	18.586757	94.055237	113.000000	0.250000	1.000000	1023.000000	0.000000
0.071730	113.000000	18.944763	93.695326	113.000000	0.250000	1.000000	1023.000000	0.000000
0.072230	113.000000	19.304674	93.333600	113.000000	0.250000	1.000000	1023.000000	0.000000
0.072730	113.000000	19.666400	92.970525	113.000000	0.250000	1.000000	1023.000000	0.000000
0.073230	113.000000	20.029475	92.606148	113.000000	0.250000	1.000000	1023.000000	0.000000
0.073730	113.000000	20.393852	92.240165	113.000000	0.250000	1.000000	1023.000000	0.000000
0.074230	113.000000	20.759835	91.870172	113.000000	0.250000	1.000000	1023.000000	0.000000
0.075110	113.000000	21.129828	91.492403	113.000000	0.250000	1.000000	1023.000000	0.000000
0.075610	113.000000	21.507597	91.107077	113.000000	0.250000	1.000000	1023.000000	0.000000
0.076110	113.000000	21.892923	90.717386	113.000000	0.250000	1.000000	1023.000000	0.000000
0.076610	113.000000	22.282614	90.325340	113.000000	0.250000	1.000000	1023.000000	0.000000
0.077110	113.000000	22.674660	89.931568	113.000000	0.250000	1.000000	1023.000000	0.000000
0.077610	113.000000	23.068432	89.536262	113.000000	0.250000	1.000000	1023.000000	0.000000
0.078111	113.000000	23.463738	89.139604	113.000000	0.250000	1.000000	1023.000000	0.000000
0.078611	113.000000	23.860396	88.741765	113.000000	0.250000	1.000000	1023.000000	0.000000
0.079111	113.000000	24.258235	88.343268	113.000000	0.250000	1.000000	1023.000000	0.000000
0.079611	113.000000	24.656732	87.944561	113.000000	0.250000	1.000000	1023.000000	0.000000
0.080111	113.000000	25.055439	87.545659	113.000000	0.250000	1.000000	1023.000000	0.000000
0.080611	113.000000	25.454341	87.146579	113.000000	0.250000	1.000000	1023.000000	0.000000
0.081111	113.000000	25.853421	86.746973	113.000000	0.250000	1.000000	1023.000000	0.000000
0.081611	113.000000	26.253027	86.346560	113.000000	0.250000	1.000000	1023.000000	0.000000
0.082111	113.000000	26.653440	85.945476	113.000000	0.250000	1.000000	1023.000000	0.000000
0.082611	113.000000	27.054524	85.543848	113.000000	0.250000	1.000000	1023.000000	0.000000
0.083111	113.000000	27.456152	85.141786	113.000000	0.250000	1.000000	1023.000000	0.000000
0.083611	113.000000	27.858214	84.739392	113.000000	0.250000	1.000000	1023.000000	0.000000
0.084111	113.000000	28.260608	84.336753	113.000000	0.250000	1.000000	1023.000000	0.000000
0.084611	113.000000	28.663247	83.933950	113.000000	0.250000	1.000000	1023.000000	0.000000
0.085111	113.000000	29.066050	83.531047	113.000000	0.250000	1.000000	1023.000000	0.000000
0.085612	113.000000	29.468953	83.127743	113.000000	0.250000	1.000000	1023.000000	0.000000
0.086112	113.000000	29.872257	82.723787	113.000000	0.250000	1.000000	1023.000000	0.000000
0.086612	113.000000	30.276213	82.319706	113.000000	0.250000	1.000000	1023.000000	0.000000
0.087112	113.000000	30.680294	81.915579	113.000000	0.250000	1.000000	1023.000000	0.000000
0.087612	113.000000	31.084421	81.510748	113.000000	0.250000	1.000000	1023.000000	0.000000
0.088112	113.000000	31.489252	81.105037	113.000000	0.250000	1.000000	1023.000000	0.000000
0.088612	113.000000	31.894963	80.698309	113.000000	0.250000	1.000000	1023.000000	0.000000
0.089112	113.000000	32.301691	80.290465	113.000000	0.250000	1.000000	1023.000000	0.000000
0.089612	113.000000	32.709535	79.881800	113.000000	0.250000	1.000000	1023.000000	0.000000
0.090112	113.000000	33.118200	79.472574	113.000000	0.250000	1.000000	1023.000000	0.000000
0.090612	113.000000	33.527426	79.063011	113.000000	0.250000	1.000000	1023.000000	0.000000
0.091112	113.000000	33.936989	78.652943	113.000000	0.250000	1.000000	1023.000000	0.000000
0.091612	113.000000	34.347057	78.242236	113.000000	0.250000	1.000000	1023.000000	0.000000
0.092122	113.000000	34.757764	77.831149	113.000000	0.250000	1.000000	1023.000000	0.000000
0.092622	113.000000	35.168851	77.419904	113.000000	0.250000	1.000000	1023.000000	0.000000
0.093122	113.000000	35.580096	77.008690	113.000000	0.250000	1.000000	1023.000000	0.000000
0.093622	113.000000	35.991310	76.597664	113.000000	0.250000	1.000000	1023.000000	0.000000
0.094122	113.000000	36.402336	76.186593	113.000000	0.250000	1.000000	1023.000000	0.000000
0.094622	113.000000	36.813407	75.775284	113.000000	0.250000	1.000000	1023.000000	0.000000
0.095122	113.000000	37.224716	75.363938	113.000000	0.250000	1.000000	1023.000000	0.000000
0.095622	113.000000	37.636062	74.952363	113.000000	0.250000	1.000000	1023.000000	0.000000
0.096122	113.000000	38.047637	74.540041	113.000000	0.250000	1.000000	1023.000000	0.000000
0.096622	113.000000	38.459959	74.126909	113.000000	0.250000	1.000000	1023.000000	0.000000
0.097126	113.000000	38.873091	73.713289	113.000000	0.250000	1.000000	1023.000000	0.000000
0.097626	113.000000	39.286711	73.299097	113.000000	0.250000	1.000000	1023.000000	0.000000
0.099459	113.000000	39.700903	72.883905	113.000000	0.250000	1.000000	1023.000000	0.000000
0.099968	113.000000	40.116095	72.466288	113.000000	0.250000	1.000000	1023.000000	0.000000
0.100468	113.000000	40.533712	72.042547	113.000000	0.250000	1.000000	1023.000000	0.000000
0.100968	113.000000	40.957453	71.608955	113.000000	0.250000	1.000000	1023.000000	0.000000
0.101468	113.000000	41.391045	71.165428	113.000000	0.250000	1.000000	1023.000000	0.000000
0.101968	113.000000	41.834572	70.714215	113.000000	0.250000	1.000000	1023.000000	0.000000
0.102468	113.000000	42.285785	70.256948	113.000000	0.250000	1.000000	1023.000000	0.000000
0.102968	113.000000	42.743052	69.795078	113.000000	0.250000	1.000000	1023.000000	0.000000
0.103468	113.000000	43.204922	69.329890	113.000000	0.250000	1.000000	1023.000000	0.000000
0.103968	113.000000	43.670110	68.862144	113.000000	0.250000	1.000000	1023.000000	0.000000
0.104468	113.000000	44.137856	68.392876	113.000000	0.250000	1.000000	1023.000000	0.000000
0.104968	113.000000	44.607124	67.923337	113.000000	0.250000	1.000000	1023.000000	0.000000
0.105468	113.000000	45.076663	67.454216	113.000000	0.250000	1.000000	1023.000000	0.000000
0.105968	113.000000	45.545784	66.985722	113.000000	0.250000	1.000000	1023.000000	0.000000
0.106469	113.000000	46.014278	66.518022	113.000000	0.250000	1.000000	1023.000000	0.000000
0.106969	113.000000	46.481978	66.051242	113.000000	0.250000	1.000000	1023.000000	0.000000
0.107469	113.000000	46.948758	65.585475	113.000000	0.250000	1.000000	1023.000000	0.000000
0.107969	113.000000	47.414525	65.120785	113.000000	0.250000	1.000000	1023.000000	0.000000
0.108469	113.000000	47.879215	64.656486	113.000000	0.250000	1.000000	1023.000000	0.000000
0.108969	113.000000	48.343514	64.191634	113.000000	0.250000	1.000000	1023.000000	0.000000
0.109469	113.000000	48.808366	63.726171	113.000000	0.250000	1.000000	1023.000000	0.000000
